alphabet,k,pipeline_kmin,proteins_per_seed
protein20,5,5,13.5
uniprot18,5,5,33.2
hsdm17,5,5,91.7
wass14,5,5,72.4
mmseqs12,6,5,36.8
sdm12,7,6,19.3
dayhoff6,9,8,43.7
wwmj5,9,8,35.2
gbmr7,13,9,84.4
gbmr4,14,12,67.3
hp_lehninger_hpc3,17,16,52.3
hp_lehninger2,17,18,96.2
hp_lehninger_c_nonpolar2,18,18,56.0
hp_pbotc_1st_ed2,18,18,56.5
hp_thomas_dill2,19,19,72.5
hp_thomas_dill_no_c2,20,19,65.7
hp_kyte_doolittle2,20,19,81.1
polarity4,12,10,53.0
funcgroups8,7,7,99.9
