alphabet	asize	ksize	lc	fmax_median	fmax_mean	fmax_max	fmax_min	fmax_p25	fmax_p75	best_species	n_species
hp_thomas_dill2	2	26	true	0.05675050354378362	0.09948655827806266	0.37206258328571035	0.0	0.011947906375022707	0.17052859097340953	mouse	9
hp_thomas_dill2	2	26	false	0.05669551521920845	0.09962453127513254	0.37300550410403066	0.0	0.011955368250722484	0.17067300869698382	mouse	9
hp_thomas_dill2	2	30	false	0.05571969698008949	0.10933110915089513	0.43393598121653176	0.0	0.006235574998651538	0.1907891423854927	mouse	9
hp_pbotc_1st_ed2	2	26	false	0.05524082306141397	0.1026276151207224	0.3907030956787292	0.0	0.012616537687283217	0.17656802163073293	mouse	9
hp_pbotc_1st_ed2	2	26	true	0.05474379471401597	0.10259026062571609	0.39088914500460553	0.0	0.012616537687283217	0.17656802163073293	mouse	9
hp_pbotc_1st_ed2	2	25	false	0.053889068095882744	0.0976948500556988	0.3647731788142608	0.0	0.011247818893666554	0.16509557238321196	mouse	9
hp_thomas_dill_no_c2	2	30	false	0.049468022805049756	0.09994639344359213	0.39548503824845327	0.0	0.009228762985026598	0.1744372832469557	mouse	9
hp_thomas_dill_no_c2	2	30	true	0.049468022805049756	0.09947898795630702	0.3918504677913325	0.0	0.009228762985026598	0.17457651060947962	mouse	9
hp_thomas_dill_no_c2	2	29	true	0.04941489935542544	0.09732533729672796	0.38027846344568234	0.0	0.00870174769621862	0.16828155037387965	mouse	9
hp_kyte_doolittle2	2	30	false	0.04901886506146531	0.10235188465084635	0.41007019563814845	0.0	0.004943581338271621	0.176412329591868	mouse	9
hp_kyte_doolittle2	2	30	true	0.0489594476283992	0.10226054753313739	0.40968550360192235	0.0	0.004872280147960882	0.1760933513086319	mouse	9
hp_kyte_doolittle2	2	28	false	0.048179316761175046	0.09566020328673062	0.37479694492272064	0.0	0.0048166280391199285	0.16527484971605572	mouse	9
hp_lehninger_c_nonpolar2	2	27	false	0.038717788845671154	0.09784939583345195	0.4030575976175233	0.0	0.004641855452029905	0.1733653398530276	mouse	9
hp_lehninger_c_nonpolar2	2	27	true	0.038717788845671154	0.09784913784064705	0.4030067070667594	0.0	0.004724026579720506	0.1733653398530276	mouse	9
hp_lehninger_c_nonpolar2	2	25	true	0.03842060580492344	0.08972469348627758	0.35891015359327827	0.0	0.005456831450056458	0.15348685197638104	mouse	9
hp_lehninger2	2	25	false	0.03730418096081434	0.08804061699893592	0.3520076916381143	0.0	0.004361170378937433	0.15752670058803986	mouse	9
hp_lehninger2	2	25	true	0.03730418096081434	0.0881459981674923	0.35286421318011124	0.0	0.004422923579494302	0.15752670058803986	mouse	9
hp_lehninger2	2	24	false	0.03635855369329642	0.08096982346905099	0.31215871177390664	0.0	0.0051820728291316525	0.14498679710539208	mouse	9
hp_lehninger_hpc3	3	22	true	0.0424305704389528	0.08968412514925644	0.35623509082548543	0.0	0.006295241963865854	0.15368606986543137	mouse	9
hp_lehninger_hpc3	3	22	false	0.0424305704389528	0.0896437052931802	0.35658056137455885	0.0	0.006295241963865854	0.15368606986543137	mouse	9
hp_lehninger_hpc3	3	21	false	0.04135247785342569	0.08129673663694423	0.30667603708183144	0.0	0.010804062969700264	0.13726222822434145	mouse	9
gbmr4	4	19	true	0.0553681321615119	0.10649444006030759	0.39140515912056434	0.0	0.018974290426188395	0.18164122774439964	mouse	9
gbmr4	4	19	false	0.0553681321615119	0.10642220784096922	0.39075506914651903	0.0	0.018974290426188395	0.18164122774439964	mouse	9
gbmr4	4	20	true	0.05452638089990737	0.10975891378682061	0.40775927506683757	0.0	0.018940048333065257	0.18771718631003692	mouse	9
polarity4	4	15	false	0.024833392564627438	0.08873455438724173	0.38551297648124516	0.0	0.012169816611519264	0.15169536365823943	mouse	9
polarity4	4	15	true	0.024833392564627438	0.08870761661895937	0.3852775850741952	0.0	0.0121627681040281	0.15169536365823943	mouse	9
polarity4	4	10	false	0.02465174716166752	0.06830675314495255	0.2598438512993194	0.0	0.0082158979445487	0.11960514029765741	mouse	9
wwmj5	5	10	true	0.030429465995246548	0.08154791497545082	0.339493798079504	0.0	0.010000769289945382	0.12990440953110086	mouse	9
wwmj5	5	10	false	0.030429465995246548	0.08142924386371517	0.3380188850634462	0.0	0.010000769289945382	0.129952854195217	mouse	9
wwmj5	5	9	true	0.030177693020542358	0.07904088244111025	0.3249758579653622	0.0	0.009671899412246112	0.12374705121519361	mouse	9
dayhoff6	6	9	true	0.06512319480709634	0.10668711284652789	0.3949949349060642	0.0	0.01692081592087143	0.17671640512776496	mouse	9
dayhoff6	6	9	false	0.06512319480709634	0.10668711284652789	0.3949949349060642	0.0	0.01692081592087143	0.17671640512776496	mouse	9
dayhoff6	6	10	true	0.06413458983952558	0.10740660720542367	0.40156357660154995	0.0	0.017748250088978526	0.17659925581637675	mouse	9
gbmr7	7	13	true	0.03001434161007713	0.07132223395394767	0.3147808483239483	0.0	0.004787910808483129	0.10841430452304875	mouse	9
