SFAM,n_queries,n_fam_matches,n_sfam_matches,n_fold_matches,fam_match_rate,avg_famcnt,avg_sfamcnt
1.0,89,55,89,89,0.6179775280898876,1.3707865168539326,2.134831460674157
0.0,39,0,0,2,0.0,0.0,0.0
