SFAM,n_queries,n_fam_matches,n_sfam_matches,n_fold_matches,fam_match_rate,avg_famcnt,avg_sfamcnt
1.0,125,76,125,125,0.608,1.328,2.112
0.0,87,0,0,4,0.0,0.0,0.0
