tool	variant	bin	frac	n	arm
kmerseek	funcgroups8_k12_lcTrue	30.0	0.0	1340	funcgroups8_k12_lcTrue
kmerseek	hp_thomas_dill2_k26_lcTrue	30.0	0.004477611940298508	1340	hp_thomas_dill2_k26_lcTrue
foldseek	3di_aa	20.0	0.4912043301759134	739	foldseek
kmerseek	funcgroups8_k12_lcTrue	70.0	0.0058309037900874635	2058	funcgroups8_k12_lcTrue
kmerseek	dayhoff6_k12_lcTrue	30.0	0.0	1340	dayhoff6_k12_lcTrue
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	70.0	0.1793002915451895	2058	hp_pbotc_1st_ed2_k21_lcTrue
foldseek	3di_aa	80.0	0.40495356037151703	1615	foldseek
hhblits	single_seq	60.0	0.6577364680153089	1829	hhblits
kmerseek	hp_thomas_dill2_k26_lcTrue	20.0	0.0	739	hp_thomas_dill2_k26_lcTrue
mmseqs2_iterative	s7	60.0	0.49589939857845816	1829	mmseqs2_iterative
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	80.0	0.25882352941176473	1615	hp_pbotc_1st_ed2_k24_lcTrue
folddisco	motif	10.0	0.5945945945945946	74	folddisco
hhblits	single_seq	50.0	0.6859147328656233	1853	hhblits
prostt5	3di_from_seq	10.0	0.6486486486486487	74	prostt5
kmerseek	dayhoff6_k12_lcTrue	100.0	0.4693140794223827	554	dayhoff6_k12_lcTrue
foldseek	3di_aa	70.0	0.32896015549076774	2058	foldseek
hhblits	single_seq	100.0	0.7003610108303249	554	hhblits
hmmer3_phmmer	default	10.0	0.2702702702702703	74	hmmer3_phmmer
kmerseek	funcgroups8_k12_lcTrue	50.0	0.0	1853	funcgroups8_k12_lcTrue
kmerseek	dayhoff6_k12_lcTrue	20.0	0.0	739	dayhoff6_k12_lcTrue
hmmer3_phmmer	default	40.0	0.599128540305011	1836	hmmer3_phmmer
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	20.0	0.0	739	hp_pbotc_1st_ed2_k21_lcTrue
folddisco	motif	90.0	0.9002624671916011	1524	folddisco
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	100.0	0.4711191335740072	554	hp_pbotc_1st_ed2_k24_lcTrue
hmmer3_phmmer	default	60.0	0.5565882996172772	1829	hmmer3_phmmer
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	40.0	0.008169934640522876	1836	hp_pbotc_1st_ed2_k19_lcTrue
kmerseek	protein20_k10_lcTrue	30.0	0.0	1340	protein20_k10_lcTrue
mmseqs2_seqseq	s7	90.0	0.49934383202099736	1524	mmseqs2_seqseq
reseek	verysensitive	90.0	0.3051181102362205	1524	reseek
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	70.0	0.2108843537414966	2058	hp_pbotc_1st_ed2_k19_lcTrue
kmerseek	protein20_k10_lcTrue	90.0	0.26115485564304464	1524	protein20_k10_lcTrue
folddisco	motif	50.0	0.7193739881273611	1853	folddisco
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	90.0	0.5078740157480315	1524	hp_pbotc_1st_ed2_k21_lcTrue
hmmer3_phmmer	default	50.0	0.595250944414463	1853	hmmer3_phmmer
kmerseek	dayhoff6_k12_lcTrue	50.0	0.0005396654074473826	1853	dayhoff6_k12_lcTrue
kmerseek	protein20_k10_lcTrue	100.0	0.40252707581227437	554	protein20_k10_lcTrue
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	30.0	0.0014925373134328358	1340	hp_pbotc_1st_ed2_k19_lcTrue
kmerseek	dayhoff6_k12_lcTrue	90.0	0.4409448818897638	1524	dayhoff6_k12_lcTrue
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	90.0	0.5203412073490814	1524	hp_pbotc_1st_ed2_k19_lcTrue
kmerseek	hp_thomas_dill2_k26_lcTrue	40.0	0.015250544662309368	1836	hp_thomas_dill2_k26_lcTrue
kmerseek	hp_thomas_dill2_k26_lcTrue	80.0	0.2643962848297214	1615	hp_thomas_dill2_k26_lcTrue
mmseqs2_iterative	s7	70.0	0.4640427599611273	2058	mmseqs2_iterative
foldseek	3di_aa	90.0	0.38123359580052496	1524	foldseek
hmmer3_phmmer	default	90.0	0.634514435695538	1524	hmmer3_phmmer
folddisco	motif	20.0	0.6238159675236806	739	folddisco
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	50.0	0.011332973556395036	1853	hp_pbotc_1st_ed2_k24_lcTrue
reseek	verysensitive	50.0	0.3119266055045872	1853	reseek
hhblits	single_seq	90.0	0.6594488188976378	1524	hhblits
kmerseek	funcgroups8_k12_lcTrue	40.0	0.0032679738562091504	1836	funcgroups8_k12_lcTrue
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	40.0	0.007080610021786492	1836	hp_pbotc_1st_ed2_k21_lcTrue
prostt5	3di_from_seq	50.0	0.4171613599568268	1853	prostt5
foldseek	3di_aa	40.0	0.4553376906318083	1836	foldseek
foldseek	3di_aa	60.0	0.3493712411153636	1829	foldseek
kmerseek	dayhoff6_k12_lcTrue	80.0	0.18761609907120744	1615	dayhoff6_k12_lcTrue
hmmer3_phmmer	default	70.0	0.5879494655004859	2058	hmmer3_phmmer
kmerseek	funcgroups8_k12_lcTrue	90.0	0.3648293963254593	1524	funcgroups8_k12_lcTrue
mmseqs2_iterative	s7	90.0	0.5439632545931758	1524	mmseqs2_iterative
hmmer3_jackhmmer	n3	100.0	0.5956678700361011	554	hmmer3_jackhmmer
reseek	verysensitive	100.0	0.1552346570397112	554	reseek
hmmer3_jackhmmer	n3	20.0	0.564276048714479	739	hmmer3_jackhmmer
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	20.0	0.0	739	hp_pbotc_1st_ed2_k19_lcTrue
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	70.0	0.12876579203109814	2058	hp_pbotc_1st_ed2_k24_lcTrue
folddisco	motif	40.0	0.6851851851851852	1836	folddisco
hhblits	single_seq	30.0	0.6365671641791045	1340	hhblits
reseek	verysensitive	30.0	0.3656716417910448	1340	reseek
hmmer3_phmmer	default	80.0	0.6452012383900929	1615	hmmer3_phmmer
hhblits	single_seq	40.0	0.6955337690631809	1836	hhblits
kmerseek	protein20_k10_lcTrue	70.0	0.0014577259475218659	2058	protein20_k10_lcTrue
kmerseek	funcgroups8_k12_lcTrue	80.0	0.11021671826625387	1615	funcgroups8_k12_lcTrue
kmerseek	hp_thomas_dill2_k26_lcTrue	100.0	0.43862815884476536	554	hp_thomas_dill2_k26_lcTrue
reseek	verysensitive	70.0	0.2589893100097182	2058	reseek
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	20.0	0.0	739	hp_pbotc_1st_ed2_k24_lcTrue
kmerseek	funcgroups8_k12_lcTrue	60.0	0.0010934937124111536	1829	funcgroups8_k12_lcTrue
mmseqs2_iterative	s7	30.0	0.5059701492537313	1340	mmseqs2_iterative
hhblits	single_seq	10.0	0.5945945945945946	74	hhblits
folddisco	motif	60.0	0.7572443958447239	1829	folddisco
kmerseek	dayhoff6_k12_lcTrue	60.0	0.004373974849644614	1829	dayhoff6_k12_lcTrue
hmmer3_jackhmmer	n3	30.0	0.5805970149253732	1340	hmmer3_jackhmmer
folddisco	motif	80.0	0.8681114551083592	1615	folddisco
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	10.0	0.0	74	hp_pbotc_1st_ed2_k19_lcTrue
mmseqs2_iterative	s7	50.0	0.5294117647058824	1853	mmseqs2_iterative
hmmer3_phmmer	default	100.0	0.6841155234657039	554	hmmer3_phmmer
mmseqs2_seqseq	s7	80.0	0.4854489164086687	1615	mmseqs2_seqseq
kmerseek	protein20_k10_lcTrue	80.0	0.0693498452012384	1615	protein20_k10_lcTrue
hhblits	single_seq	80.0	0.6860681114551084	1615	hhblits
kmerseek	protein20_k10_lcTrue	60.0	0.0	1829	protein20_k10_lcTrue
mmseqs2_seqseq	s7	10.0	0.44594594594594594	74	mmseqs2_seqseq
hmmer3_jackhmmer	n3	70.0	0.5306122448979592	2058	hmmer3_jackhmmer
prostt5	3di_from_seq	80.0	0.3894736842105263	1615	prostt5
hmmer3_jackhmmer	n3	40.0	0.5958605664488017	1836	hmmer3_jackhmmer
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	80.0	0.29226006191950465	1615	hp_pbotc_1st_ed2_k21_lcTrue
mmseqs2_seqseq	s7	50.0	0.4873178629249865	1853	mmseqs2_seqseq
prostt5	3di_from_seq	70.0	0.3182701652089407	2058	prostt5
kmerseek	dayhoff6_k12_lcTrue	70.0	0.04907677356656948	2058	dayhoff6_k12_lcTrue
kmerseek	funcgroups8_k12_lcTrue	10.0	0.0	74	funcgroups8_k12_lcTrue
kmerseek	hp_thomas_dill2_k26_lcTrue	60.0	0.035538545653362494	1829	hp_thomas_dill2_k26_lcTrue
mmseqs2_iterative	s7	10.0	0.17567567567567569	74	mmseqs2_iterative
kmerseek	dayhoff6_k12_lcTrue	10.0	0.0	74	dayhoff6_k12_lcTrue
mmseqs2_iterative	s7	40.0	0.5343137254901961	1836	mmseqs2_iterative
kmerseek	hp_thomas_dill2_k26_lcTrue	90.0	0.4914698162729659	1524	hp_thomas_dill2_k26_lcTrue
mmseqs2_iterative	s7	80.0	0.5442724458204334	1615	mmseqs2_iterative
