alphabet,scaled,n_pairs,speedup_median,memory_ratio_median,cpu_time_ratio_median
dayhoff6,1,15,1.9742765273311897,1.2259615384615383,1.569267707082833
dayhoff6,2,13,3.051813471502591,2.4462809917355375,3.6211304764950434
dayhoff6,5,8,9.44075021312873,5.8181818181818175,13.50361645649927
dayhoff6,10,15,14.703476482617587,11.045454545454545,24.23551552182258
gbmr4,1,2,1.5947940947940948,1.1754384061901146,2.1481512225545516
gbmr4,2,1,3.2389380530973453,2.29,6.823939604355341
gbmr4,5,1,7.204761904761905,5.576388888888888,12.927485209969934
gbmr4,10,4,16.880248931355293,10.131613756613756,47.66301623927126
gbmr7,2,1,1.6782106782106783,2.0903614457831323,2.3527119667694745
gbmr7,5,1,4.824120603015075,5.856060606060606,8.726116457996195
gbmr7,10,2,13.407532149418248,10.959001782531196,42.02737103112074
hp_kyte_doolittle2,1,8,1.8872547142968001,1.617719790065545,1.7789509571922872
hp_kyte_doolittle2,2,2,2.613963480128894,3.0916851534638172,2.9385097305413925
hp_kyte_doolittle2,5,6,8.339191564147628,6.713529411764706,13.17498212002683
hp_kyte_doolittle2,10,2,18.334404714075262,12.768289841565704,41.93486816496376
hp_lehninger2,1,8,0.8378171545968156,1.0472121643664056,1.2144560009941587
hp_lehninger2,2,2,1.4953078845716883,2.134876911815695,3.3350588650742603
hp_lehninger2,5,7,4.816363636363636,3.953125,9.214594238965647
hp_lehninger2,10,3,14.24736842105263,8.125,28.183676060761993
hp_lehninger_c_nonpolar2,1,4,0.8510311001322759,1.045192528339988,1.204488899946646
hp_lehninger_c_nonpolar2,2,15,2.054054054054054,1.9033816425120773,3.5176687464549063
hp_lehninger_c_nonpolar2,5,15,4.251141552511416,3.928571428571429,11.000667051272806
hp_lehninger_c_nonpolar2,10,18,14.402291105121293,8.349358974358974,24.497108165707232
hp_lehninger_hpc3,1,6,0.8674561860142287,1.1115037593984962,1.0850889504094807
hp_lehninger_hpc3,2,8,1.9149101136813287,1.75265973066133,2.914581758672739
hp_lehninger_hpc3,5,2,6.0138065817677475,6.184235074626866,10.687748387604671
hp_lehninger_hpc3,10,7,9.101123595505618,7.714285714285715,22.367935602884454
hp_pbotc_1st_ed2,1,11,0.92,1.124215809284818,1.038217499092976
hp_pbotc_1st_ed2,2,7,1.8424317617866004,2.1530612244897958,3.0464302793078404
hp_pbotc_1st_ed2,5,10,5.248659346271706,5.696845039776977,8.715262278444364
hp_pbotc_1st_ed2,10,10,10.728308823529412,8.500964837049743,29.678346110333287
hp_thomas_dill2,1,8,1.7054685433826182,1.3529205607476635,1.7996274305756765
hp_thomas_dill2,2,4,4.055357142857143,2.587863649720835,5.5791353716740595
hp_thomas_dill2,5,6,8.284602677795167,5.735078947368422,14.849842840508108
hp_thomas_dill2,10,10,10.194535519125683,10.581818181818182,25.569577665374613
hp_thomas_dill_no_c2,1,7,1.4862745098039216,1.426195426195426,1.519437282229965
hp_thomas_dill_no_c2,2,5,2.8925619834710745,2.706122448979592,4.292766766620345
hp_thomas_dill_no_c2,5,15,8.425531914893616,6.135135135135135,10.788757044348772
hp_thomas_dill_no_c2,10,10,12.533941353036251,11.497695459201093,33.872747296645585
hsdm17,1,7,2.4953703703703702,1.2285714285714284,1.8516431685490655
hsdm17,2,14,3.977300613496933,2.5,3.692623156071432
hsdm17,5,9,9.444444444444445,5.548387096774193,7.811395519764804
hsdm17,10,6,20.495583800086166,10.586687306501549,18.071937274442718
mmseqs12,1,3,1.8070175438596492,1.2366863905325445,1.3623587765224583
mmseqs12,2,11,3.4073107049608353,1.9330543933054396,4.480116921886602
mmseqs12,5,3,10.137795275590552,5.3999999999999995,10.429236574312945
mmseqs12,10,4,20.050997511321448,9.498917748917748,21.75580510190143
protein20,1,40,1.6158471760797344,1.1214618714618714,1.4549152669800183
protein20,2,51,3.7099236641221376,2.4230769230769234,3.7172962745481826
protein20,5,51,8.472972972972974,5.7272727272727275,10.838418549758755
protein20,10,51,17.876923076923077,11.38888888888889,20.501365689673282
sdm12,1,12,1.3781103513525137,1.2351420238707937,0.9194998225897016
sdm12,2,3,3.4397590361445785,2.5076923076923077,5.142349281587913
sdm12,5,3,5.928571428571429,5.9605263157894735,11.34981395149908
sdm12,10,5,6.585365853658536,9.131147540983607,24.77072674418605
uniprot18,1,25,1.7284345047923322,1.1594827586206897,1.4252684061824827
uniprot18,2,18,4.148210897262131,2.2392628205128204,4.775846886512715
uniprot18,5,36,8.99996836844436,5.790625,11.043448490507313
uniprot18,10,32,17.003379291700462,11.618055555555555,16.61592251649735
wass14,1,6,1.8255569424470193,1.252388535031847,1.4543256984877457
wass14,2,13,3.7964601769911503,2.4936708860759493,3.598857633886825
wass14,5,18,8.841513157315148,5.328828828828829,9.615369476012113
wass14,10,15,16.090425531914892,10.294117647058824,27.63854255093379
wwmj5,1,6,1.2075312184793239,0.9680190690543422,1.4010373798699558
wwmj5,2,6,2.8921279157646635,2.088668699186992,3.6565839667520947
wwmj5,5,7,9.136363636363637,4.449197860962567,16.080415604107795
wwmj5,10,7,15.784615384615385,11.35,25.047937155934928
