species	mya	alphabet	ksize	letters	bits	fmax	median_iou_tp	ndo	residue_f1	residue_recall	wfmax	smin	family_fmax	family_wfmax	family_smin	auprc	recall	precision
mouse	100	hp_pbotc_1st_ed2	29	2	28.8	0.4367	0.6471	0.2465	0.2623	0.2465	0.4446	15.1426	0.6541	0.6628	7.0824	0.2432	0.3571	0.323
chicken	300	hp_thomas_dill2	30	2	29.0	0.1908	0.6512	0.0625	0.1027	0.0625	0.1926	18.8338	0.2881	0.2899	13.1096	0.0751	0.1022	0.4556
zebrafish	430	gbmr4	21	4	32.0	0.1971	0.6463	0.0535	0.0916	0.0535	0.2024	18.5544	0.2633	0.2668	13.3878	0.0803	0.1243	0.3345
ciona	550	gbmr4	18	4	27.4	0.0517	0.5806	0.0128	0.0237	0.0128	0.0532	19.9936	0.0975	0.1001	14.9211	0.0214	0.0462	0.2026
fly	600	dayhoff6	9	6	20.5	0.0746	0.5835	0.013	0.0252	0.013	0.0755	19.9665	0.0976	0.0971	15.1757	0.0316	0.0475	0.4766
worm	650	dayhoff6	9	6	20.5	0.0651	0.6119	0.0094	0.0184	0.0094	0.0654	20.1834	0.0829	0.0823	15.3359	0.0301	0.0305	0.6207
yeast	900	gbmr4	14	4	21.3	0.0149	0.6774	0.0042	0.0081	0.0042	0.0149	20.4933	0.0398	0.0417	15.5306	0.0045	0.0148	0.0964
arabidopsis	1500	gbmr4	17	4	25.9	0.0242	0.537	0.0045	0.0081	0.0045	0.0284	20.4551	0.0363	0.0427	15.4935	0.0092	0.0157	0.0403
ecoli	2000	hp_pbotc_1st_ed2	19	2	18.9	0.0004	0.625	0.0001	0.0001	0.0001	0.0004	20.6607	0.0019	0.0021	15.7669	0.0001	0.0004	0.0013
