n_instances,share_run_ge_19,share_run_ge_10,median_run,species,mya
1347,0.7379361544172235,0.8656273199703044,40.0,mouse,100
550,0.49818181818181817,0.6690909090909091,18.0,chicken,300
855,0.2736842105263158,0.5216374269005848,10.0,zebrafish,430
325,0.04,0.15076923076923077,0.0,ciona,550
284,0.056338028169014086,0.14788732394366197,0.0,fly,600
251,0.0199203187250996,0.0796812749003984,0.0,worm,650
121,0.008264462809917356,0.08264462809917356,0.0,yeast,900
138,0.028985507246376812,0.11594202898550725,0.0,arabidopsis,1500
,,,,ecoli,2000
